id,pred
1,B
2,B
3,B
4,B
5,A
6,A
7,A
8,B
9,B
10,A
11,B
12,B
13,A
14,B
15,A
16,A
17,A
18,B
19,A
20,A
21,A
22,A
23,A
24,A
25,A
26,A
27,B
28,B
29,B
30,A
31,A
32,A
33,A
34,A
35,A
36,A
37,A
38,B
39,A
40,A
41,A
42,A
43,A
44,A
45,A
46,B
47,B
48,A
49,A
50,B
51,B
52,A
53,B
54,A
55,B
56,A
57,A
58,A
59,A
60,A
61,B
62,B
63,A
65,A
66,A
67,A
68,A
69,B
70,A
71,A
72,B
73,B
74,A
75,A
76,B
77,A
78,A
79,A
80,A
81,A
82,A
83,A
84,B
85,B
86,B
87,A
88,B
89,A
90,B
91,A
92,B
93,A
94,A
95,A
96,A
97,A
98,A
99,A
100,A
101,B
102,A
103,A
104,A
105,A
106,A
107,B
108,A
109,A
110,B
111,B
112,B
113,B
114,B
115,A
116,A
117,A
118,A
119,B
120,A
121,A
122,A
123,B
124,A
125,A
126,A
127,A
128,B
129,B
130,A
131,A
132,A
133,A
134,A
135,B
136,A
137,B
138,A
139,A
140,A
141,B
142,A
143,A
144,A
145,A
146,A
147,B
148,A
149,A
150,A
151,A
152,A
153,A
154,A
155,A
156,A
157,A
158,B
159,A
160,B
161,B
162,A
163,B
164,A
165,A
166,A
167,A
168,A
169,B
170,B
171,A
172,A
173,A
174,A
175,A
177,B
178,B
179,A
180,A
181,B
182,A
183,A
184,A
185,B
186,B
187,A
188,A
189,B
190,B
191,B
192,A
193,A
194,B
195,B
197,A
198,B
199,A
