,Model,Theta_overall,Theta_cohesion,Theta_syntax,Theta_vocabulary,Theta_phraseology,Theta_grammar,Theta_conventions
0,llama-3.2-3b,0.453739553934884,1.7307391004037397e-12,6.927316307218655e-08,0.4537395225357055,0.45373955393497845,4.683958102204239e-18,0.45373955393497845
1,llama-3.2-1b,-7.916349424498151e-10,-6.755335215267458e-23,-0.45373955393497534,-3.9821290533625194e-26,5.108530319899294e-22,-2.9830054078003934e-26,7.239389801415378e-06
2,gemma-2-2b,1.3508376221017917,0.9049546306616612,1.3508376337958756,0.9048801291846015,1.350837633822001,1.3508376556030026,1.350837634023672
3,gemma-2b,0.45373955588114423,0.45373955393497845,0.4537395537720365,0.45373955393497845,0.45373955399366017,0.4537395539349785,0.45373955393497845
4,llama-3-8b-it,-0.45373955393497845,-0.0009462508517216239,-0.45373955393497845,-0.4537395539349784,-0.45373955393497845,-0.45373955393497845,1.1370492075378532e-28
5,gemma-1.1-2b-it,-3.534131225529723,-3.2292818074386282,-3.4354856864469876,-3.239146557117417,-3.275508368240212,-3.2950816213883134,-2.41956985952051
6,gemma-2-2b-it,-3.534131225529723,-3.2292818074386282,-3.4354856864469876,-3.239146557117417,-3.275508368240212,-3.2950816213883134,-2.41956985952051
7,llama-3.2-1b-it,-3.534131225529723,-3.2292818074386282,-3.4354856864469876,-3.239146557117417,-3.275508368240212,-3.2950816213883134,-2.41956985952051
8,llama-3.2-3b-it,-0.4613659177125651,-0.45373955393497845,-0.45373955404668287,-0.9048801288397553,-0.45373955393497845,-0.4537395539349784,-2.41956985952051
9,gemma-7b,1.350837633714436,0.9048801292942263,1.350837633564382,0.904880129183954,0.9048801291840403,1.3508376338396788,1.3508376338005361
10,flan-t5-large,0.9048801291839536,0.9048801291839538,0.9048801291749091,0.9048791526056627,0.9048801291839537,0.9048801291838634,0.9048801291839537
11,qwen-2.5-1.5b-it,0.9048730416740148,0.9048801291839536,0.45373955393497983,0.45373955393886384,0.4537395630233309,0.9048801105347403,0.9048801291839537
12,qwen-2.5-0.5b-it,1.507525757238782e-05,0.9048800604525505,0.4537395539293722,0.45373955393497845,0.45373954391177507,0.4537342365002933,1.9709942341240834e-22
13,qwen-2.5-3b-it,1.3238524843719432e-25,-0.4537395539349785,0.45373955393498155,0.45373955393497845,-2.757165071986456e-35,0.44740900575128834,0.903252796996276
14,qwen-2.5-7b-it-1m,-0.45373955393497845,-0.4537395539353248,-0.45373955393497845,-0.45373955393497845,-0.4537395566662395,-0.4537395539349825,-2.004381953512534e-24
15,phi-3-mini-4k-it,0.45346282476866784,0.45373955316236975,0.45373955393497845,0.45373955393497845,0.45373955393497845,0.4537395539347946,-2.41956985952051
16,phi-3.5-mini-instruct,0.4537395766926206,0.45373955393497845,0.45373955393497845,0.45373955393497845,0.45373955393497845,0.45373955393497845,-2.41956985952051
