overall,cohesion,syntax,vocabulary,phraseology,grammar,conventions,essay_id
4,3,2,3,2,2,2,9CDD8FC77D5A
4,3,2,2,2,0,2,C19EDCF7BDD6
4,3,2,4,3,2,2,99D067A7FA9C
4,3,3,3,3,3,3,8E40E03B113A
4,3,2,4,0,2,0,9A96A89DF959
3,2,3,4,2,0,2,C4472C6DFE66
4,3,2,3,2,3,2,4668B9F74078
5,4,3,4,2,3,2,8C44127FF83C
5,5,5,5,5,5,5,1FB9B9E08786
4,3,2,3,2,3,3,840357B74A16
4,3,2,3,2,3,3,4C6E08E611EA
4,3,2,3,2,0,0,471BD41D6BA9
3,4,2,3,2,3,4,48CD3C2E57E9
5,4,4,3,2,3,3,50611B996992
5,5,5,5,5,5,5,AD095F1ADE0A
5,4,3,3,2,2,2,55AEC9A9BB4C
4,3,2,4,2,2,2,77D8D85C6451
4,3,2,3,2,3,3,9523FBA791BE
5,4,3,2,0,2,2,D5AC4A35BAF8
4,4,3,2,3,2,2,FCE7BA86AFDF
4,4,4,4,4,4,4,662E92CD6A6E
4,3,2,4,2,3,2,B5FF33681C22
3,4,2,2,2,2,2,2F0BD3FAFB2E
4,3,2,3,3,3,3,D3F44CC7EC17
5,4,3,5,2,0,0,41EAC230D430
3,3,3,3,3,3,3,E0BFF1488787
4,3,2,4,3,2,0,4E81E4116D94
5,4,3,5,2,0,0,999F3229AC57
5,4,4,3,2,3,2,4A87CFC37238
5,5,5,5,5,5,5,62A6A91A2C46
4,3,2,3,2,2,2,48F7FCAD8B23
5,5,5,5,5,5,5,5A75500DC0E2
4,3,2,3,3,0,2,49619EA08A55
5,4,3,3,2,2,3,39E0A362CF29
4,3,2,3,0,2,2,480C577BC8C9
5,4,3,4,2,0,0,2B62F285FD21
5,4,3,4,2,2,3,947DF52352AB
5,5,5,5,5,5,5,8AB06719AED1
4,3,2,3,2,2,2,9054912D1EA7
4,3,2,3,2,0,0,209A6BC99DB9
4,2,0,2,0,2,0,3480D4CCF0B5
5,5,5,5,5,5,5,2BAFBD6D9755
4,3,2,3,2,2,2,C5813A0D6AF5
4,3,2,3,2,3,0,3821238FE334
4,3,2,2,1,0,1,E52BD4FC3FF0
4,3,2,3,3,3,3,E376D913FA25
4,3,2,4,2,2,0,41BB825BAEBB
5,5,5,5,5,5,5,01E7242A2AD7
4,3,2,4,2,3,0,3691B4714FD5
5,5,5,5,5,5,5,ED57CFEC1CF1
4,3,3,4,3,3,3,C868C220A380
5,4,3,4,2,3,2,9E4F43374DD5
4,4,4,4,4,4,4,AAF5D100E836
4,3,2,4,3,2,4,E0B86027C5C5
4,3,2,3,2,1,2,4CFAF19AF547
5,4,3,3,2,3,3,7DC02C918305
3,4,2,3,3,2,2,3EE4C10E9149
3,4,2,2,0,0,0,9B4C52064991
4,3,2,2,0,0,0,830CCF8E0B23
5,4,3,5,2,3,2,366725B151D7
4,3,2,3,2,2,3,6CB31DED1BF0
4,3,2,3,2,2,3,A3C8FABB8B29
3,4,2,2,0,2,0,20E194B18D0E
5,4,3,5,4,3,3,CB0BF6DDF9B7
4,3,2,4,2,0,3,29BB45AA907C
5,4,3,2,0,0,2,0757FE18DBAA
5,4,3,3,2,2,0,98D8FF9E3C56
4,3,2,3,3,2,2,314E6ED40C6A
5,4,3,2,0,0,0,B39F335086FB
4,3,2,4,2,2,3,DE54A8F9C29C
