essay_id,overall,grammar,cohesion,conventions,vocabulary,syntax,phraseology
9CDD8FC77D5A,5,5,5,5,4,4,5
C19EDCF7BDD6,5,1,4,5,5,5,3
99D067A7FA9C,4,5,4,5,5,4,3
8E40E03B113A,5,5,4,3,4,5,4
9A96A89DF959,3,5,4,4,4,4,5
C4472C6DFE66,4,4,5,1,3,5,4
4668B9F74078,4,5,5,3,4,5,3
8C44127FF83C,5,5,5,5,5,5,5
1FB9B9E08786,5,4,3,4,5,5,5
840357B74A16,5,5,5,4,4,5,1
4C6E08E611EA,4,3,5,4,5,5,5
471BD41D6BA9,5,4,3,4,3,5,5
48CD3C2E57E9,5,4,5,5,1,4,4
50611B996992,5,5,4,4,4,5,4
AD095F1ADE0A,5,5,5,5,5,5,3
55AEC9A9BB4C,5,4,3,4,5,5,5
77D8D85C6451,5,3,4,3,4,5,4
9523FBA791BE,4,4,1,3,1,3,5
D5AC4A35BAF8,4,4,5,4,5,5,5
FCE7BA86AFDF,4,5,4,5,5,5,4
662E92CD6A6E,3,3,1,1,4,5,2
B5FF33681C22,3,3,5,3,5,4,3
2F0BD3FAFB2E,5,4,4,1,5,1,5
D3F44CC7EC17,5,4,3,5,5,4,4
41EAC230D430,5,4,4,4,5,5,5
E0BFF1488787,5,1,1,1,4,1,4
4E81E4116D94,3,4,5,4,4,1,4
999F3229AC57,4,5,5,1,4,5,1
4A87CFC37238,5,5,5,4,5,4,4
62A6A91A2C46,5,1,5,4,5,3,5
48F7FCAD8B23,5,4,5,4,5,4,5
5A75500DC0E2,4,1,4,5,5,4,4
49619EA08A55,5,4,4,5,5,4,5
39E0A362CF29,5,5,5,5,4,4,5
480C577BC8C9,4,5,5,3,4,1,4
2B62F285FD21,4,4,1,5,4,4,1
947DF52352AB,4,2,5,4,5,4,1
8AB06719AED1,5,5,1,5,4,5,4
9054912D1EA7,5,4,4,5,5,5,1
209A6BC99DB9,5,4,5,5,4,3,4
3480D4CCF0B5,5,4,5,4,5,4,4
2BAFBD6D9755,3,5,5,5,1,4,4
C5813A0D6AF5,5,1,3,5,5,3,5
3821238FE334,4,5,5,3,1,4,4
E52BD4FC3FF0,5,4,5,5,5,5,5
E376D913FA25,5,4,5,1,4,5,4
41BB825BAEBB,5,4,3,4,4,5,5
01E7242A2AD7,5,3,3,5,5,5,4
3691B4714FD5,5,5,5,4,3,5,5
ED57CFEC1CF1,3,4,4,4,4,3,4
C868C220A380,5,4,5,5,1,4,5
9E4F43374DD5,3,4,5,4,3,5,4
AAF5D100E836,5,1,5,4,5,5,4
E0B86027C5C5,5,4,4,3,4,5,3
4CFAF19AF547,3,4,5,4,4,3,4
7DC02C918305,5,4,4,4,5,4,5
3EE4C10E9149,3,4,4,5,1,5,3
9B4C52064991,5,5,5,5,4,5,4
830CCF8E0B23,4,1,1,1,4,3,1
366725B151D7,5,5,4,4,5,4,5
6CB31DED1BF0,1,4,4,5,1,1,5
A3C8FABB8B29,4,1,1,3,5,1,3
20E194B18D0E,4,1,4,5,4,4,4
CB0BF6DDF9B7,5,4,5,4,5,1,3
29BB45AA907C,5,5,3,5,3,5,3
0757FE18DBAA,5,3,5,3,4,5,4
98D8FF9E3C56,5,4,5,4,4,5,4
314E6ED40C6A,5,5,4,4,4,5,1
B39F335086FB,4,4,5,5,5,5,4
DE54A8F9C29C,5,4,5,1,5,5,1
F7DC6C783239,5,4,5,3,4,4,5
744C96D9BE0B,4,5,5,1,4,5,5
6FBD476D8AC9,3,3,3,1,5,5,1
4A3A73608D0E,5,5,4,4,5,5,4
4994A639ED75,5,4,4,3,5,5,3
D185087926CD,5,5,5,3,1,5,3
6AA75E61D3C1,4,4,4,5,5,4,5
78303F7A5AB0,5,5,5,5,5,5,4
7F0B7DDE89B2,3,5,4,5,4,5,4
C7BD62EA392F,5,5,4,5,5,5,4
0A67029FA17C,5,5,5,1,3,5,5
38E03AE14C78,5,5,5,5,4,5,5
B558AFC603D4,5,3,5,4,5,5,1
918C1880FCD8,5,3,3,3,5,1,1
B6E9E12159E3,5,4,4,4,3,5,4
8B155840CA6D,4,4,4,5,4,5,1
BF267B42A2A4,1,5,1,5,5,4,5
56E188D44884,5,4,5,3,5,1,3
29595ADA257B,5,4,5,1,3,5,1
E4C49D70C330,4,5,5,4,3,5,1
3EEB66F3630C,5,4,5,4,5,4,5
C0BC39F655F9,3,1,3,5,4,4,3
253B2D521F14,5,5,4,4,4,3,4
A0C5D3BB735F,1,1,1,3,5,5,1
FBC269A9D3AE,4,4,5,5,5,5,4
41AEF2D0D03E,4,4,5,5,3,5,4
44C1594D0950,5,4,4,4,4,5,4
DE962FEDCD9E,4,5,4,1,1,4,4
40788D50B102,5,4,5,5,4,5,3
17C7C1CAF7E8,4,5,4,5,4,5,5
9E4E221D8419,4,5,3,4,5,5,4
506A69171959,5,5,4,5,5,5,5
4D35A86F4929,5,5,4,5,5,4,4
112B891A4F41,4,5,4,5,5,5,4
71A9098715EB,5,3,4,4,5,4,5
87E3F6FDAA68,4,4,3,4,3,4,1
ADFE2CDB6FF1,5,5,5,5,5,3,4
83FD2977A14D,5,3,5,5,4,5,3
8C5BF0347F87,5,5,5,4,4,5,4
0CFDDC1CF75A,1,4,3,5,4,1,4
3DB503D247B3,3,5,4,4,3,1,4
56AC4BE71C2F,5,4,5,5,5,5,4
85E3C840FCBF,5,4,5,5,3,5,4
1D9F4510A90B,3,5,4,5,5,3,4
74FF4379012C,4,3,5,1,5,4,4
D5202DF530D1,5,5,1,5,5,5,4
642E44E8DD25,5,4,5,1,4,5,5
5E32A7855A7F,5,5,5,5,5,5,4
4032ED0063E4,3,1,4,3,3,3,1
2C9EA803FF3A,5,4,4,4,5,4,5
10DA9316D02D,5,3,5,5,5,5,5
25130AAA9552,5,5,5,5,4,5,4
1151BAA93780,5,5,4,4,5,5,3
63146C2EA477,3,5,4,4,3,4,4
23F0ABEF8370,5,5,4,5,4,1,5
0F9DDF417CDA,1,4,5,3,1,4,4
871097AE113C,1,5,5,5,1,3,1
C27C72D6E208,4,1,4,5,4,4,4
90978A2F8599,5,1,5,4,5,4,4
83FEB27FD31E,5,5,5,3,3,4,5
8B1F8FCC9E56,5,1,3,1,5,4,5
A2BA5F95C077,4,5,5,1,4,3,5
E8C554B25F19,5,5,4,5,4,5,4
9B5E142C63AC,5,5,5,1,5,1,5
8EE0540E163D,5,5,5,5,5,3,5
68C346DDE213,4,5,4,4,4,5,5
D99C71A15BA0,5,5,5,5,5,5,4
14B667544F4E,3,3,4,5,1,5,1
2DA1C5338C78,5,5,4,5,3,5,5
8B1883B7393C,1,5,5,4,3,5,4
5E830B6462DB,4,5,3,4,3,4,3
669A736CF0B4,5,4,4,5,5,4,4
24008FFDB479,4,4,4,5,5,5,3
60623DB5DE7A,4,4,5,5,5,3,4
BD9FE34E4670,4,5,5,5,5,4,4
8C8B11C308CF,5,5,1,5,5,5,4
5EE6F7530113,4,5,5,1,4,4,4
76C2E20AF20E,3,1,3,4,3,4,5
46977B27324C,5,4,4,5,3,5,5
AA03F87A4A75,5,5,5,4,3,4,4
02A7A3AFFBD5,4,3,1,5,4,5,3
907FC59841EC,4,4,4,1,4,4,1
E52BA6E4D7EE,4,5,1,5,5,3,3
E3DBC3B092A7,5,4,4,4,4,4,5
12E3D52345C6,5,5,4,4,4,5,5
51A7C4616A18,5,5,5,5,4,1,3
04FA62C5F269,5,5,1,5,5,5,4
C537E278BAE6,4,1,4,1,5,4,4
34E9C436DECE,3,4,3,4,4,4,4
52D244740799,5,1,5,5,5,4,1
916C937AF222,4,1,5,3,4,4,5
A9A0D8CE21B4,4,1,4,4,4,5,5
219E44AA7948,4,4,3,4,5,5,5
507FAD8DAFB0,5,4,5,5,3,5,4
F5EA98F42452,5,4,3,3,4,5,4
CD506B5747F7,4,5,4,5,1,5,1
7D1825E2F4AD,5,1,3,3,5,5,5
4F5775B0B88D,3,5,5,1,5,5,4
A85F9CF7691D,3,1,1,5,5,5,4
EFB208F9EF60,5,5,3,5,4,3,5
AE6AE119B52F,5,4,4,1,5,5,5
4E8ED336CF7E,5,1,5,3,5,5,3
111443A063CE,4,4,1,5,4,4,5
1B2274161889,1,5,4,1,1,5,5
5C9B1FB411EB,4,4,5,5,5,4,5
9213A16C1A0A,1,1,1,3,3,5,3
FC9DA73D1EA0,5,1,5,1,1,5,5
EBEFF43F46EE,5,4,4,3,5,4,5
E78C1D3328E3,4,4,4,4,3,5,3
3B81809AA132,4,1,5,4,4,5,5
14ED79D68BC4,5,5,5,4,4,5,4
2A426B89E8C5,3,3,3,5,1,5,5
67F6FEDD7677,5,5,4,5,1,5,4
C2DCF6EED519,4,3,5,5,4,5,5
16BE136AB3A7,5,5,1,4,1,4,3
C3D8BAA89C4F,5,3,4,3,5,5,5
4FD2B58768E2,4,5,5,1,5,5,5
6D9728CB8711,4,3,4,4,5,5,5
253108CDC69F,5,4,5,1,5,5,1
19692639977E,5,5,4,5,3,3,4
6ED616EC6B00,5,4,3,4,5,5,4
34D76C62269C,5,3,4,4,5,3,3
9FFDCC21CAA0,5,1,5,1,5,5,4
BC227A70B60E,4,5,5,4,5,5,5
6F63F3BCD18D,5,1,5,5,5,5,5
E2A60C034849,4,3,4,5,4,5,1
D5C7212A31FD,5,5,4,5,4,5,5
80172B0A969C,5,5,5,5,4,5,5
A0B58CDB939A,5,5,1,1,5,4,5
DDD24AF9146F,5,1,4,4,5,1,3
858DFA7A9980,1,4,3,4,3,5,1
109CBA5203BB,5,5,4,4,4,5,4
6AB122D640E1,5,4,4,5,4,5,4
9EBCC1131B13,4,4,5,5,3,5,5
9551DA943B01,4,5,5,1,4,5,4
9CB6D9467227,4,5,4,4,5,5,5
B37D0A9D7859,5,5,5,5,4,5,3
AF7DB5739529,1,2,4,5,4,1,5
07A4DAFDE5B7,5,5,5,5,5,5,4
AF6A4C253262,3,5,5,4,4,5,4
269101ABF266,5,4,5,5,5,5,5
CB13841D09DF,4,5,4,3,4,3,4
2E6495FC2C72,5,5,5,3,3,5,3
CB769FAD1A51,5,4,5,3,4,5,3
F48D7BBAF52D,5,1,5,5,4,5,5
593E2802E27C,4,5,5,5,3,1,1
F934542997DC,5,5,4,5,5,5,3
A6745A8EE7AF,4,4,4,5,5,5,4
1A69B2FC1200,4,4,1,5,5,5,5
8311ABD30CC1,5,1,4,5,5,5,4
591B7E3E2B40,5,1,5,4,4,5,5
1D327ADD95AA,5,4,4,4,3,5,4
7B557B2F27CE,5,5,5,4,5,5,1
5086E20438E9,5,4,4,5,3,5,5
D25868F1C5C3,5,5,5,1,4,3,1
F1BB39C5E549,1,5,5,1,5,4,4
471C6119911D,4,4,5,5,4,5,5
10490469631A,5,5,1,5,4,5,4
EC719533AB43,5,5,4,5,4,4,4
4B0F6070B45A,5,5,4,5,5,4,4
A1A83A14B53F,5,5,5,5,5,5,5
BE4764F7BFF1,3,5,3,2,1,1,1
76BC1CB29C1E,4,5,3,5,4,5,5
CA6EBB87D7FF,4,4,4,5,3,5,4
4BE3F5DCD6C9,3,4,5,5,5,5,5
87692B9A8184,5,4,5,4,5,5,5
AA7B4CC7EE1B,5,5,4,4,4,5,3
B46E31AA2653,5,1,5,5,5,5,3
60EAF2CDEB66,3,5,4,3,3,5,3
3F4A9ACFEDFB,3,5,5,4,5,1,5
AA9429AD1038,3,5,1,1,5,4,4
759E0659FF69,5,5,1,2,4,4,1
681B9CD21B07,5,5,5,5,4,5,5
ABB6A19842F1,3,5,5,3,5,4,4
6B20E9C115AF,5,5,5,4,4,1,5
ED9C6EDC5601,4,3,1,5,1,5,4
C1D243FAE6FF,3,4,3,5,1,1,5
36311D8E825C,5,5,4,4,4,1,4
0ACB3F8B9DF8,4,1,1,5,4,1,4
F12FEB0FE5B6,5,3,5,4,5,5,5
CEACA9EC34F8,5,5,3,3,5,5,4
1B981E7E59C5,1,4,5,3,4,3,3
73268F15F18B,5,1,4,4,4,5,5
38CADC812CBA,5,4,5,4,5,5,5
9D3EE733AE65,4,4,5,4,4,4,4
9F979C691167,3,5,3,4,4,1,1
26650408983,4,5,5,4,5,3,3
D8284C3B2D2C,5,4,5,3,4,5,5
857574FE9711,5,4,5,3,4,5,5
24DAF94F0A18,5,5,5,5,5,5,5
4C3AFB55C4F7,5,5,3,5,5,5,5
C5784E7398EC,5,3,5,5,5,5,4
1703E46B4DC9,3,1,4,3,5,5,4
