pred,id
A,1
A,2
A,3
A,4
B,5
A,6
B,7
A,8
A,9
A,10
A,11
B,12
B,13
A,14
A,15
B,16
A,17
A,18
A,19
B,20
A,21
B,22
A,23
A,24
A,25
A,26
A,27
A,28
B,29
B,30
A,31
A,32
A,33
A,34
A,35
A,36
A,37
A,38
B,39
A,40
A,41
A,42
A,43
B,44
B,45
B,46
A,47
A,48
A,49
A,50
B,51
A,52
A,53
B,54
B,55
B,56
B,57
B,58
A,59
B,60
B,61
B,62
A,63
A,64
A,65
A,66
A,67
A,68
A,69
A,70
B,71
B,72
A,73
A,74
A,75
A,76
B,77
B,78
A,79
A,80
A,81
A,82
A,83
A,84
A,85
A,86
A,87
A,88
B,89
A,90
A,91
A,92
A,93
A,94
A,95
A,96
A,97
A,98
B,99
A,100
