,Model,Theta,Theta_2pl
0,gemma-1.1-2b-it,-0.1597880870103836,2.905564546585083
1,gemma-2-2b-it,-0.5820227861404419,2.823537588119507
2,llama-3-8b-it,0.4327893853187561,3.1805386543273926
3,llama-3.2-1b-it,-0.8755160570144653,2.1977155208587646
4,llama-3.2-3b-it,0.25325390696525574,2.4775938987731934
5,mistral-7b-it-v0.1,-0.6348295211791992,2.892409563064575
6,mistral-7b-it-v0.3,0.23537129163742065,3.61847186088562
7,mistral-8b-it-2410,0.21682317554950714,3.248168468475342
8,olmo-7b-it,-0.5122624039649963,-1.150789499282837
9,olmoe-1b-7b-0924-it,-0.6547632217407227,2.066664934158325
10,olmo-2-0325-32b-it,0.5838913321495056,3.330261707305908
11,phi-3-medium-4k-it,0.9407557845115662,2.911424160003662
12,phi-3.5-mini-it,0.4348726272583008,2.2755608558654785
13,phi-4-mini-it,-0.1494235247373581,3.360415458679199
14,qwen-2.5-0.5b-it,-0.8542503118515015,0.5233964323997498
15,qwen-2.5-1.5b-it,0.3398054242134094,1.1584315299987793
16,qwen-2.5-3b-it,0.5041467547416687,2.2187113761901855
17,qwen-2.5-7b-it-1m,0.9086485505104065,2.9834020137786865
18,qwen-2.5-7b-it,0.6008248329162598,3.0700418949127197
19,flan-t5-base,-0.7528276443481445,2.834491014480591
20,flan-t5-large,-0.6592227816581726,-0.8626571893692017
21,flan-t5-small,-0.8341688513755798,2.736595869064331
22,flan-t5-xl,0.03181608393788338,2.1942684650421143
